date,event,fighter1,fighter1 - open,fighter1 - 48h,fighter1 - close,fighter2,fighter2 - open,fighter2 - 48h,fighter2 - close,winner
2023-12-02,UFC Fight Night,Jared Gooden,2023-11-10 09:16:00 - price: +130,2023-11-30 16:36:00 - price: +161,2023-12-02 16:39:00 - price: +166,Wellington Turman,2023-11-10 09:16:00 - price: -175,2023-11-30 16:36:00 - price: -197,2023-12-02 16:39:00 - price: -202,Jared Gooden
2023-12-02,UFC Fight Night,Julia Avila,2023-11-10 09:16:00 - price: -175,2023-11-30 18:35:00 - price: -143,2023-12-02 18:37:00 - price: -144,Miesha Tate,2023-11-10 09:16:00 - price: +130,2023-11-30 18:35:00 - price: +119,2023-12-02 18:37:00 - price: +119,Miesha Tate
2023-11-18,UFC,Caio Machado,2023-11-03 21:37:00 - price: +275,2023-11-16 05:27:00 - price: +270,2023-11-18 15:44:00 - price: +290,Mick Parkin,2023-11-03 21:37:00 - price: -345,2023-11-16 05:27:00 - price: -357,2023-11-18 15:44:00 - price: -381,Mick Parkin
2023-11-18,UFC,Joanderson Brito,2023-10-31 05:25:00 - price: +120,2023-11-16 18:55:00 - price: +106,2023-11-18 16:56:00 - price: +111,Jonathan Pearce,2023-10-31 05:25:00 - price: -163,2023-11-16 18:55:00 - price: -129,2023-11-18 16:56:00 - price: -137,Joanderson Brito
2023-11-18,UFC,Nick Aguirre,2023-10-31 05:25:00 - price: +350,2023-11-16 18:36:00 - price: +519,2023-11-18 18:21:00 - price: +536,Payton Talbott,2023-10-31 05:25:00 - price: -549,2023-11-16 18:36:00 - price: -776,2023-11-18 18:21:00 - price: -779,Payton Talbott
2023-11-18,UFC,Ailin Perez,2023-10-31 05:25:00 - price: -125,2023-11-16 19:11:00 - price: -195,2023-11-18 14:55:00 - price: -189,Lucie Pudilova,2023-10-31 05:25:00 - price: -105,2023-11-16 19:11:00 - price: +158,2023-11-18 14:55:00 - price: +155,Ailin Perez
2023-11-18,UFC,Rafael Estevam,2023-11-03 21:23:00 - price: +110,2023-11-16 13:37:00 - price: -145,2023-11-18 14:06:00 - price: -149,Charles Johnson,2023-11-03 21:23:00 - price: -130,2023-11-16 13:37:00 - price: +118,2023-11-18 14:06:00 - price: +121,Rafael Estevam
2023-11-18,UFC,Chad Anheliger,2023-10-31 05:25:00 - price: +140,2023-11-16 15:19:00 - price: +163,2023-11-18 16:28:00 - price: +170,Jose Johnson,2023-10-31 05:25:00 - price: -188,2023-11-16 15:19:00 - price: -200,2023-11-18 16:28:00 - price: -207,Jose Johnson
2023-11-18,UFC,Brendan Allen,2023-10-31 05:25:00 - price: -275,2023-11-16 11:51:00 - price: -439,2023-11-18 19:43:00 - price: -447,Paul Craig,2023-10-31 05:25:00 - price: +200,2023-11-16 11:51:00 - price: +330,2023-11-18 19:43:00 - price: +333,Brendan Allen
2023-11-18,UFC,Chase Hooper,2023-10-31 05:25:00 - price: -250,2023-11-16 17:17:00 - price: -216,2023-11-18 18:49:00 - price: -205,Jordan Leavitt,2023-10-31 05:25:00 - price: +175,2023-11-16 17:17:00 - price: +173,2023-11-18 18:49:00 - price: +165,Chase Hooper
2023-11-18,UFC,Luana Pinheiro,2023-10-31 05:25:00 - price: +240,2023-11-16 21:55:00 - price: +195,2023-11-18 17:49:00 - price: +192,Amanda Ribas,2023-10-31 05:25:00 - price: -350,2023-11-16 21:55:00 - price: -247,2023-11-18 17:49:00 - price: -242,Amanda Ribas
2023-11-12,UFC,Diego Lopes,2023-10-06 07:17:00 - price: +110,2023-11-09 20:53:00 - price: -101,2023-11-11 22:22:00 - price: -101,Pat Sabatini,2023-10-06 07:17:00 - price: -150,2023-11-09 21:33:00 - price: -121,2023-11-11 22:22:00 - price: -119,Diego Lopes
2023-11-12,UFC,Alex Pereira,2023-09-21 05:19:00 - price: +105,2023-11-10 00:31:00 - price: -123,2023-11-11 23:57:00 - price: -119,Jiri Prochazka,2023-09-21 05:19:00 - price: -138,2023-11-10 00:31:00 - price: +103,2023-11-11 23:57:00 - price: -101,Alex Pereira
2023-11-12,UFC,Tom Aspinall,2023-10-25 09:49:00 - price: -162,2023-11-09 23:45:00 - price: -118,2023-11-11 23:32:00 - price: -115,Sergei Pavlovich,2023-10-25 09:49:00 - price: +126,2023-11-09 23:45:00 - price: -103,2023-11-11 23:32:00 - price: -104,Tom Aspinall
2023-11-12,UFC,Jared Gordon,2023-10-06 07:17:00 - price: -188,2023-11-09 18:35:00 - price: -204,2023-11-11 19:39:00 - price: -224,Mark Madsen,2023-10-06 07:17:00 - price: +140,2023-11-09 18:31:00 - price: +165,2023-11-11 19:39:00 - price: +180,Jared Gordon
2023-11-12,UFC,Mateusz Rebecki,2023-11-08 07:31:00 - price: -700,2023-11-09 20:41:00 - price: -681,2023-11-11 20:43:00 - price: -787,Roosevelt Roberts,2023-11-08 07:31:00 - price: +440,2023-11-09 20:41:00 - price: +470,2023-11-11 20:43:00 - price: +521,Mateusz Rebecki
2023-11-12,UFC,Loopy Godinez,2023-10-06 07:17:00 - price: -150,2023-11-09 21:06:00 - price: -175,2023-11-11 21:09:00 - price: -203,Tabatha Ricci,2023-10-06 07:17:00 - price: +110,2023-11-09 21:06:00 - price: +144,2023-11-11 21:09:00 - price: +165,Loopy Godinez
2023-11-12,UFC,Jessica Andrade,2023-08-20 20:48:00 - price: +150,2023-11-10 02:29:00 - price: +167,2023-11-11 23:00:00 - price: +194,Mackenzie Dern,2023-08-20 20:48:00 - price: -180,2023-11-09 23:15:00 - price: -207,2023-11-11 23:00:00 - price: -239,Jessica Andrade
